%time,field.layout.dim0.label,field.layout.dim0.size,field.layout.dim0.stride,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1508712013736524332,data,1,4,0,199.392623901,-459.042755127,0.0917220190167,0.142848581076
1508712013740506002,data,1,4,0,199.392578125,-459.042602539,0.0131309311837,0.0465597771108
1508712013749865560,data,1,4,0,199.391815186,-459.043426514,-0.0382648669183,-0.0165937691927
1508712013761878229,data,1,4,0,199.390960693,-459.044403076,-0.0704469233751,-0.0561387650669
1508712013768283423,data,1,4,0,199.390197754,-459.045318604,-0.0901597216725,-0.0805847942829
1508712013780050046,data,1,4,0,199.389587402,-459.046051025,-0.103562541306,-0.097032174468
1508712013792482148,data,1,4,0,199.38911438,-459.046600342,-0.111741416156,-0.107069045305
1508712013802276191,data,1,4,0,199.388778687,-459.04699707,-0.11663915962,-0.113277852535
1508712013810695424,data,1,4,0,199.388534546,-459.047302246,-0.119623892009,-0.117061637342
1508712013832188225,data,1,4,0,199.388381958,-459.047515869,-0.12132564187,-0.119484893978
1508712013833511681,data,1,4,0,199.388259888,-459.047637939,-0.122362338006,-0.120961256325
1508712013855031098,data,1,4,0,199.388183594,-459.04776001,-0.122898869216,-0.12195596844
1508712013857039980,data,1,4,0,199.388137817,-459.047821045,-0.123133033514,-0.122654512525
1508712013864617951,data,1,4,0,199.3881073,-459.047851562,-0.123275570571,-0.123080052435
1508712013873419637,data,1,4,0,199.388397217,-459.047576904,-0.0949493050575,-0.0949545428157
1508712013889650646,data,1,4,0,199.388763428,-459.047241211,-0.0776832923293,-0.0778108686209
1508712013890560554,data,1,4,0,199.389099121,-459.046905518,-0.0671236589551,-0.0673976764083
1508712013906211295,data,1,4,0,199.389373779,-459.046630859,-0.0606881156564,-0.0610513687134
1508712013916927278,data,1,4,0,199.389587402,-459.046417236,-0.0567301139235,-0.0572196617723
1508712013938651281,data,1,4,0,199.389755249,-459.046264648,-0.0542797520757,-0.0549227334559
1508712013956115641,data,1,4,0,199.389862061,-459.046142578,-0.0527867153287,-0.053523208946
1508712013963816582,data,1,4,0,199.389938354,-459.046081543,-0.0518511869013,-0.0526959262788
1508712013965904163,data,1,4,0,199.38999939,-459.046020508,-0.0512628778815,-0.0522099249065
1508712013985003754,data,1,4,0,199.390045166,-459.04598999,-0.0509044863284,-0.0519138835371
1508712013988686670,data,1,4,0,199.38999939,-459.046020508,-0.0562886036932,-0.0574896484613
1508712013995140771,data,1,4,0,199.389938354,-459.046081543,-0.0595604106784,-0.0608982555568
1508712013995274784,data,1,4,0,199.389892578,-459.046142578,-0.0615546070039,-0.0629758238792
1508712014005378259,data,1,4,0,199.389846802,-459.046203613,-0.0627659857273,-0.0642459392548
1508712014011937309,data,1,4,0,199.389801025,-459.046234131,-0.0635006725788,-0.0650234296918
1508712014020061485,data,1,4,0,199.389770508,-459.046264648,-0.0639483630657,-0.0654972121119
1508712014029980114,data,1,4,0,199.389755249,-459.046295166,-0.0642126500607,-0.065794184804
1508712014040165986,data,1,4,0,199.389694214,-459.046356201,-0.0685655325651,-0.0703018829226
1508712014052245010,data,1,4,0,199.389633179,-459.046417236,-0.0712187290192,-0.07304944098
1508712014062742084,data,1,4,0,199.389572144,-459.046478271,-0.0728181451559,-0.0747412070632
1508712014072180341,data,1,4,0,199.389526367,-459.046508789,-0.0737663656473,-0.0757980123162
1508712014101193665,data,1,4,0,199.38949585,-459.046569824,-0.0743215456605,-0.0764640122652
1508712014101298666,data,1,4,0,199.389465332,-459.046600342,-0.0746598318219,-0.0768698379397
1508712014101754871,data,1,4,0,199.389450073,-459.046600342,-0.0748432278633,-0.0771391242743
1508712014120357632,data,1,4,0,199.389434814,-459.046630859,-0.0749549567699,-0.0773031935096
1508712014131942325,data,1,4,0,199.389434814,-459.046630859,-0.0749990344048,-0.0774263590574
1508712014132103942,data,1,4,0,199.14491272,-459.046691895,-0.0817973762751,-0.0818485319614
1508712014141977622,data,1,4,0,198.995834351,-459.04675293,-0.0849257409573,-0.0845439583063
1508712014154748062,data,1,4,0,198.904953003,-459.046813965,-0.0862055122852,-0.0861944034696
1508712014160864033,data,1,4,0,198.84954834,-459.046875,-0.0866127237678,-0.0871957615018
1508712014175144598,data,1,4,0,198.81578064,-459.046905518,-0.0866307988763,-0.0878059715033
1508712014195739106,data,1,4,0,198.795196533,-459.046936035,-0.0865189433098,-0.0881609767675
1508712014195941036,data,1,4,0,198.782653809,-459.046936035,-0.0863652452826,-0.0883772745728
1508712014209953576,data,1,4,0,198.775009155,-459.046966553,-0.0862493216991,-0.0884801372886
1508712014216268300,data,1,4,0,198.770355225,-459.046966553,-0.0861468911171,-0.0885427892208
1508712014222721203,data,1,4,0,198.767181396,-459.047302246,-0.116976283491,-0.120144218206
1508712014234215947,data,1,4,0,198.765045166,-459.047729492,-0.13575617969,-0.139406472445
1508712014240208427,data,1,4,0,198.76361084,-459.048126221,-0.147270679474,-0.151073008776
1508712014252557246,data,1,4,0,198.762649536,-459.048431396,-0.154348254204,-0.15812009573
1508712014266368117,data,1,4,0,198.762023926,-459.048675537,-0.158658668399,-0.162414565682
1508712014272534714,data,1,4,0,198.761611938,-459.048858643,-0.16131298244,-0.165002658963
1508712014283469346,data,1,4,0,198.76133728,-459.048980713,-0.162943437696,-0.166565731168
1508712014291755452,data,1,4,0,198.760604858,-459.0496521,-0.217322990298,-0.222040727735
1508712014305517468,data,1,4,0,198.759780884,-459.050415039,-0.250488460064,-0.255835175514
1508712014314221392,data,1,4,0,198.759048462,-459.051116943,-0.270755559206,-0.276380002499
1508712014347468994,data,1,4,0,198.758468628,-459.051696777,-0.283190280199,-0.288819134235
1508712014347665195,data,1,4,0,198.758026123,-459.052124023,-0.290767848492,-0.296399414539
1508712014349105475,data,1,4,0,198.757705688,-459.052459717,-0.295385152102,-0.301018446684
1508712014353757207,data,1,4,0,198.757476807,-459.05267334,-0.298316121101,-0.303717166185
1508712014361108144,data,1,4,0,198.75730896,-459.052825928,-0.300308078527,-0.305158138275
1508712014372341374,data,1,4,0,198.757202148,-459.05291748,-0.301521658897,-0.306035906076
1508712014379318920,data,1,4,0,198.757125854,-459.052978516,-0.302488654852,-0.306345403194
1508712014404260832,data,1,4,0,198.757644653,-459.052459717,-0.249370709062,-0.252326577902
1508712014405551475,data,1,4,0,198.75831604,-459.051757812,-0.217143207788,-0.219250842929
1508712014422632236,data,1,4,0,198.75894165,-459.051116943,-0.197500705719,-0.199091359973
1508712014423531571,data,1,4,0,198.759460449,-459.050567627,-0.185529619455,-0.186805203557
1508712014430892925,data,1,4,0,198.759857178,-459.050170898,-0.178447932005,-0.179104760289
1508712014438860172,data,1,4,0,198.760147095,-459.049865723,-0.174341768026,-0.174202308059
1508712014454771749,data,1,4,0,198.760345459,-459.0496521,-0.171839907765,-0.171215131879
1508712014458899932,data,1,4,0,198.760482788,-459.049499512,-0.17053283751,-0.169175416231
1508712014470266966,data,1,4,0,198.7605896,-459.049377441,-0.169736638665,-0.16793268919
1508712014483115167,data,1,4,0,198.760635376,-459.049316406,-0.169488221407,-0.166934609413
1508712014492179357,data,1,4,0,198.760070801,-458.884185791,-0.225628614426,-0.219013780355
1508712014503936970,data,1,4,0,198.759353638,-458.783905029,-0.259848415852,-0.251446276903
1508712014510757795,data,1,4,0,198.758666992,-458.722991943,-0.280907392502,-0.271424978971
1508712014523749487,data,1,4,0,198.758117676,-458.686004639,-0.293741762638,-0.283856630325
1508712014530001867,data,1,4,0,198.75769043,-458.663543701,-0.301659435034,-0.291488915682
1508712014543309918,data,1,4,0,198.757369995,-458.649932861,-0.306484103203,-0.296234697104
1508712014549810165,data,1,4,0,198.757141113,-458.64163208,-0.309400767088,-0.299208164215
1508712014574450407,data,1,4,0,198.756988525,-458.636627197,-0.311082273722,-0.301153600216
1508712014578235304,data,1,4,0,198.756881714,-458.633575439,-0.312106639147,-0.302360385656
1508712014582671355,data,1,4,0,198.75680542,-458.631713867,-0.312730640173,-0.303108692169
1508712014599269765,data,1,4,0,198.756759644,-458.630584717,-0.312983751297,-0.303703278303
1508712014616966211,data,1,4,0,198.756729126,-458.62991333,-0.31296736002,-0.304245501757
1508712014619949587,data,1,4,0,198.756713867,-458.629516602,-0.312957257032,-0.304578840733
1508712014637081389,data,1,4,0,198.756713867,-458.629272461,-0.312951028347,-0.304783731699
1508712014639694134,data,1,4,0,198.75668335,-458.629119873,-0.314162909985,-0.306538850069
1508712014654546530,data,1,4,0,198.756668091,-458.629058838,-0.314901590347,-0.307609289885
1508712014663836973,data,1,4,0,198.756652832,-458.62902832,-0.315351784229,-0.308262109756
1508712014669100224,data,1,4,0,198.756637573,-458.628997803,-0.315549373627,-0.308738589287
1508712014672680222,data,1,4,0,198.756637573,-458.628997803,-0.315630406141,-0.309069275856
1508712014683602354,data,1,4,0,198.756622314,-458.628997803,-0.315679758787,-0.309270888567
1508712014690500784,data,1,4,0,198.756622314,-458.628997803,-0.315662175417,-0.309442341328
1508712014700648479,data,1,4,0,198.757385254,-458.628265381,-0.243985027075,-0.239225655794
1508712014710428824,data,1,4,0,198.758331299,-458.627319336,-0.200257107615,-0.196464598179
1508712014727689900,data,1,4,0,198.759216309,-458.626464844,-0.173605307937,-0.170402094722
1508712014733246540,data,1,4,0,198.759933472,-458.625762939,-0.157316163182,-0.154565542936
1508712014746212295,data,1,4,0,198.760482788,-458.625244141,-0.147330492735,-0.144974723458
1508712014752870878,data,1,4,0,198.760879517,-458.624847412,-0.141245678067,-0.139130547643
1508712014759554409,data,1,4,0,198.761169434,-458.624572754,-0.137452483177,-0.135656356812
1508712014773424031,data,1,4,0,198.761367798,-458.624359131,-0.135141402483,-0.133539706469
1508712014781047159,data,1,4,0,198.761505127,-458.624237061,-0.133646979928,-0.13233743608
1508712014791113654,data,1,4,0,198.761444092,-458.624328613,-0.148282766342,-0.147297993302
1508712014801178899,data,1,4,0,198.761291504,-458.624481201,-0.157204195857,-0.156417354941
1508712014811769933,data,1,4,0,198.761154175,-458.624633789,-0.162489637733,-0.16212810576
1508712014821061105,data,1,4,0,198.761032104,-458.624755859,-0.165710955858,-0.165608644485
1508712014829549401,data,1,4,0,198.760925293,-458.624847412,-0.16753564775,-0.167867660522
1508712014843297927,data,1,4,0,198.760864258,-458.624938965,-0.168647542596,-0.169244274497
1508712014857035985,data,1,4,0,198.760803223,-458.625,-0.169171318412,-0.170235574245
1508712014863063048,data,1,4,0,198.760772705,-458.625030518,-0.169490396976,-0.170839592814
1508712014871518948,data,1,4,0,198.760757446,-458.625061035,-0.169684752822,-0.171207621694
1508712014880928351,data,1,4,0,198.760742188,-458.625091553,-0.169592320919,-0.171639800072
1508712014892150956,data,1,4,0,198.760742188,-458.62512207,-0.169327676296,-0.172107309103
1508712014902179639,data,1,4,0,198.760528564,-458.625335693,-0.188816055655,-0.19249817729
1508712014916535569,data,1,4,0,198.760269165,-458.625640869,-0.200392067432,-0.205222129822
1508712014923388269,data,1,4,0,198.760040283,-458.62588501,-0.207141727209,-0.213273018599
1508712014930793946,data,1,4,0,198.759841919,-458.626098633,-0.21125523746,-0.218179598451
1508712014940935495,data,1,4,0,198.75970459,-458.626281738,-0.213385626674,-0.221530884504
1508712014959420598,data,1,4,0,198.759613037,-458.626403809,-0.214683711529,-0.223573058844
1508712014960180296,data,1,4,0,198.759536743,-458.626495361,-0.215474575758,-0.224817425013
1508712014972155672,data,1,4,0,198.759490967,-458.626556396,-0.215676307678,-0.225842416286
1508712014979691299,data,1,4,0,198.759475708,-458.626617432,-0.215555950999,-0.226697221398
1508712014991955221,data,1,4,0,198.758804321,-458.627319336,-0.276150882244,-0.291453510523
1508712015003600488,data,1,4,0,198.757995605,-458.628204346,-0.312599658966,-0.331382393837
1508712015013066819,data,1,4,0,198.757247925,-458.62902832,-0.334814846516,-0.355718642473
1508712015025228552,data,1,4,0,198.756652832,-458.629699707,-0.347932368517,-0.370944589376
1508712015029147722,data,1,4,0,198.756210327,-458.630187988,-0.355470627546,-0.38064712286
1508712015049853741,data,1,4,0,198.755874634,-458.630584717,-0.360063970089,-0.386559456587
1508712015050512552,data,1,4,0,198.755661011,-458.630859375,-0.36228197813,-0.390698671341
1508712015063417421,data,1,4,0,198.755508423,-458.63104248,-0.36363312602,-0.393220722675
1508712015068936717,data,1,4,0,198.75541687,-458.631195068,-0.363960772753,-0.39521202445
1508712015082690712,data,1,4,0,198.755355835,-458.631286621,-0.364160090685,-0.396425276995
1508712015095386098,data,1,4,0,198.755310059,-458.631378174,-0.363801807165,-0.397601902485
1508712015100442419,data,1,4,0,198.756103516,-458.630523682,-0.287729620934,-0.315299719572
1508712015111392521,data,1,4,0,198.757110596,-458.629486084,-0.241360664368,-0.265133231878
1508712015119876286,data,1,4,0,198.758026123,-458.628479004,-0.212897926569,-0.234738573432
1508712015131741713,data,1,4,0,198.758789062,-458.627685547,-0.195551410317,-0.216214641929
1508712015139157546,data,1,4,0,198.759368896,-458.627044678,-0.184841126204,-0.205051228404
1508712015155004799,data,1,4,0,198.759796143,-458.626586914,-0.178314730525,-0.198248788714
1508712015160205237,data,1,4,0,198.760101318,-458.626281738,-0.17422054708,-0.194209232926
1508712015173176512,data,1,4,0,198.7603302,-458.626037598,-0.171726077795,-0.191748127341
1508712015182079554,data,1,4,0,198.760467529,-458.62588501,-0.170206382871,-0.190248817205
1508712015189503252,data,1,4,0,198.516189575,-458.625701904,-0.163654461503,-0.180528178811
1508712015201271125,data,1,4,0,198.367355347,-458.625518799,-0.158645734191,-0.174603447318
1508712015211133659,data,1,4,0,198.276657104,-458.625366211,-0.154974162579,-0.170992583036
1508712015225420631,data,1,4,0,198.221420288,-458.625244141,-0.152278617024,-0.168863654137
1508712015233818248,data,1,4,0,198.187759399,-458.625183105,-0.150311037898,-0.167650267482
1508712015245048145,data,1,4,0,198.167266846,-458.62512207,-0.148887738585,-0.166985109448
1508712015267351375,data,1,4,0,198.154785156,-458.625061035,-0.14793497324,-0.166579887271
1508712015277091980,data,1,4,0,198.147186279,-458.625061035,-0.147212728858,-0.166411817074
1508712015286715501,data,1,4,0,198.142562866,-458.625030518,-0.14674089849,-0.166309460998
1508712015294762332,data,1,4,0,198.13973999,-458.625030518,-0.14633667469,-0.166332513094
1508712015305601078,data,1,4,0,198.138137817,-458.62487793,-0.135497510433,-0.154258653522
1508712015315399445,data,1,4,0,198.137237549,-458.624725342,-0.128839328885,-0.146937832236
1508712015320193106,data,1,4,0,198.136734009,-458.624572754,-0.124776877463,-0.142475873232
1508712015323405286,data,1,4,0,198.136459351,-458.624450684,-0.122283630073,-0.13976944983
1508712015333550897,data,1,4,0,198.136306763,-458.624359131,-0.120762631297,-0.138120174408
1508712015338650083,data,1,4,0,198.13621521,-458.624298096,-0.119851492345,-0.137100622058
1508712015353589459,data,1,4,0,198.136169434,-458.624237061,-0.119350753725,-0.136431276798
1508712015362378697,data,1,4,0,198.136154175,-458.624206543,-0.119045332074,-0.136023446918
1508712015368994363,data,1,4,0,198.136138916,-458.624176025,-0.118925094604,-0.135717079043
1508712015381970066,data,1,4,0,198.13571167,-458.624633789,-0.158598259091,-0.180801033974
1508712015389248449,data,1,4,0,198.135177612,-458.625244141,-0.18291477859,-0.208163425326
1508712015402319830,data,1,4,0,198.134674072,-458.625793457,-0.197735488415,-0.224840596318
1508712015408678878,data,1,4,0,198.134277344,-458.626220703,-0.206942647696,-0.234850287437
1508712015423654973,data,1,4,0,198.133972168,-458.626556396,-0.212553486228,-0.24095018208
1508712015442391486,data,1,4,0,198.133743286,-458.626800537,-0.216105088592,-0.244549810886
1508712015442692324,data,1,4,0,198.133575439,-458.626983643,-0.218269139528,-0.246743068099
1508712015452703037,data,1,4,0,198.133468628,-458.627105713,-0.21971359849,-0.247967556119
1508712015459987150,data,1,4,0,198.133377075,-458.627197266,-0.220724985003,-0.248596638441
1508712015472856549,data,1,4,0,198.133331299,-458.627258301,-0.221341177821,-0.248979777098
1508712015479837272,data,1,4,0,198.133285522,-458.627288818,-0.2218092978,-0.249130427837
1508712015490092572,data,1,4,0,198.132904053,-458.627685547,-0.255521118641,-0.28667807579
1508712015500594073,data,1,4,0,198.132446289,-458.628204346,-0.276175796986,-0.309469878674
1508712015518103329,data,1,4,0,198.132019043,-458.628662109,-0.288885802031,-0.323252797127
1508712015527976541,data,1,4,0,198.131668091,-458.629058838,-0.296631842852,-0.331652700901
